7740,2021-10-21,2022-10-21,0,0,ciao
6885,2021-10-21,2022-10-21,0,0,ciao
1349,2021-10-21,2022-10-21,0,0,ciao
9390,2021-10-21,2022-10-21,0,0,ciao
2308,2021-10-21,2022-10-21,0,0,ciao
256,2021-10-21,2022-10-21,0,0,ciao
60,2021-10-21,2022-10-21,0,0,ciao
4717,2021-10-21,2022-10-21,0,0,ciao
6298,2021-10-21,2022-10-21,0,0,ciao
8742,2021-10-21,2022-10-21,0,0,ciao
9758,2021-10-21,2022-10-21,0,0,ciao
6644,2021-10-21,2022-10-21,0,0,ciao
5223,2021-10-21,2022-10-21,0,0,ciao
4788,2021-10-21,2022-10-21,0,0,ciao
9224,2021-10-21,2022-10-21,0,0,ciao
9770,2021-10-21,2022-10-21,0,0,ciao
5107,2021-10-21,2022-10-21,0,0,ciao
9503,2021-10-21,2022-10-21,0,0,ciao
5524,2021-10-21,2022-10-21,0,0,ciao
5139,2021-10-21,2022-10-21,0,0,ciao
